"No.","Time","Source","Destination","Protocol","Length","Time to Live","Source Port","Destination Port","Info"
"43","11.979114","192.168.88.128","192.168.88.1","T.125","107","128","3389","33611","channelJoinConfirm 1008"
"44","11.979457","192.168.88.1","192.168.88.128","T.125","107","128","33611","3389","channelJoinRequest 1003"
"45","11.979601","192.168.88.128","192.168.88.1","T.125","107","128","3389","33611","channelJoinConfirm 1003"
"46","11.979713","192.168.88.1","192.168.88.128","T.125","107","128","33611","3389","channelJoinRequest 1004"
"47","11.979793","192.168.88.128","192.168.88.1","T.125","107","128","3389","33611","channelJoinConfirm 1004"
"48","11.979895","192.168.88.1","192.168.88.128","T.125","107","128","33611","3389","channelJoinRequest 1005"
"49","11.979980","192.168.88.128","192.168.88.1","T.125","107","128","3389","33611","channelJoinConfirm 1005"
"50","11.980227","192.168.88.1","192.168.88.128","T.125","107","128","33611","3389","channelJoinRequest 1006"
"51","11.980313","192.168.88.128","192.168.88.1","T.125","107","128","3389","33611","channelJoinConfirm 1006"
"52","11.980416","192.168.88.1","192.168.88.128","T.125","107","128","33611","3389","channelJoinRequest 1007"
"53","11.980496","192.168.88.128","192.168.88.1","T.125","107","128","3389","33611","channelJoinConfirm 1007"
